Scientific name,Common name,group,Rank,545279,545283,545278
Potamothrix bavaricus,Aquatic oligochaete worm,Worms,Species,3803,2892,1926
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,2908,2569,2901
Anguilla australis,"Tuna; hao; aopori; hikumutu,Shortfin eel",Fish,Species,1162,1474,963
Bos taurus,"Kau,Cattle",Mammals,Species,0,1445,1788
Neochanna burrowsius,"Kowaro,Canterbury mudfish",Fish,Species,203,1107,1877
Galaxias maculatus,"Īnanga,Inanga",Fish,Species,646,1273,516
Hydroptilidae sp. 12KH6B,Purse-case caddisfly,Insects,Species,181,1410,777
Rhipidura fuliginosa,"Pīwaiwaka; pīrairaka; pīwakawaka,Fantail",Birds,Species,0,816,685
Capitophorus elaeagni,Artichoke aphid,Insects,Species,728,157,578
Corynoneura scutellata,Non-biting midge,Insects,Species,14,24,1338
Limnodrilus hoffmeisteri,Redworm,Worms,Species,854,0,130
Rhopalosiphum padi,Bird cherry-oat aphid,Insects,Species,624,62,40
Lumbriculus variegatus,Blackworm,Worms,Species,287,260,164
Acanthocyclops robustus,Copepod,Crustaceans,Species,325,130,169
Tubifex tubifex,Sludge worm,Worms,Species,349,118,113
Passer domesticus,"Tiu,House sparrow",Birds,Species,106,211,260
Chamaedrilus aff. glandulosus B SM-2014,Worm,Worms,Species,128,103,56
Porphyrio melanotus,"Pūkeko,Pukeko",Birds,Species,0,237,36
Turdus philomelos,Song thrush,Birds,Species,86,95,51
Gobiomorphus breviceps,Upland bully,Fish,Species,216,0,0
Enchytraeus buchholzi complex sp. CEI,,Worms,Species,127,60,28
Chaetogaster diaphanus,Oligochaete worm,Worms,Species,52,20,98
Lumbricus rubellus,Red earthworm,Worms,Species,83,76,10
Rattus norvegicus,"Pouhawaiki; pou o hawaiki; kaingarua; maungarua,Norway Rat",Mammals,Species,0,49,113
Nais communis/variabilis complex sp. A1,Sludgeworm,Worms,Species,119,0,33
Cochliopodium kieliense,Amoeba,Amoebae,Species,33,42,49
Herpetocypris brevicaudata,,Crustaceans,Species,29,48,26
Emberiza citrinella,Yellowhammer,Birds,Species,0,42,53
Trichosurus vulpecula,"Paihamu; paihama,Common brushtail possum",Mammals,Species,29,56,0
Tuberolachnus salignus,Giant willow aphid,Insects,Species,25,28,32
Enchytraeus buchholzi complex sp. CEF,,Worms,Species,45,0,21
Enchytraeus buchholzi complex sp. 2 MK-2019,Grindal worm,Worms,Species,63,0,0
Ovis aries,"Pirikahu; hipi,Sheep",Mammals,Species,0,0,58
Cernosvitoviella minor complex sp. CEF,,Worms,Species,33,25,0
Henlea perpusilla,Worm,Worms,Species,55,0,0
Henlea ventriculosa,Worm,Worms,Species,55,0,0
Aporrectodea caliginosa,Worm,Worms,Species,20,31,0
Potamopyrgus antipodarum,Mud Snail,Molluscs,Species,22,15,11
Mus musculus,House mouse,Mammals,Species,0,27,20
Myzus ornatus,Ornate aphid; violet aphid,Insects,Species,9,38,0
Deroceras reticulatum,Grey field slug; Grey garden slug,Molluscs,Species,20,20,7
Octolasion cyaneum,Worm,Worms,Species,20,16,11
Hypogastruridae sp. DPCOL96821,,Springtails,Species,7,22,7
Rhopalosiphoninus latysiphon,,Insects,Species,0,30,0
Nais communis,Sludgeworm,Worms,Species,17,0,12
Hydrozetidae sp.,,Mites and ticks,Species,7,15,7
Cernosvitoviella microtheca,,Worms,Species,0,0,24
Globulidrilus riparius complex sp. CEC,,Worms,Species,0,0,24
Sturnus vulgaris,"Tāringi,Common starling",Birds,Species,23,0,0
Canis lupus familiaris,"Pero,Dog",Mammals,Subspecies,22,0,0
Torularia atra,Red algae,Red algae,Species,0,22,0
Ectopsocus briggsi,Psocopteran fly,Insects,Species,15,6,0
Glyptophysa sp. NZla2,,Molluscs,Species,0,13,8
Cernosvitoviella aggtelekiensis,Worm,Worms,Species,15,0,0
Acalitus vaccinii,,Mites and ticks,Species,0,8,6
Marionina deminuta,,Worms,Species,12,0,0
Cognettia chlorophila,Worm,Worms,Species,9,0,0
Chydorus sphaericus complex sp. A1,,Crustaceans,Species,9,0,0
Phytopythium sp. PV So7,,Oomycetes,Species,9,0,0
Eucyclops serrulatus,,Crustaceans,Species,7,0,0
Phytopythium sp. ROH-2015,,Oomycetes,Species,0,7,0
Felis catus,"Ngeru; poti,Cat",Mammals,Species,6,0,0
Anguilla dieffenbachii,"Tuna; kūwharuwharu; reherehe; kirirua,Longfin eel",Fish,Species,6,0,0
Bimastos rubidus,Worm,Worms,Species,6,0,0
Veliidae sp.,,Insects,Species,0,6,0
Dero digitata,Worm,Worms,Species,0,5,0
Simocephalus vetulus,Water flea,Crustaceans,Species,0,5,0
Neanura muscorum,Springtail,Springtails,Species,0,5,0
Ceratophysella gibbosa,Springtail,Springtails,Species,5,0,0
Hypogastrura purpurescens,Springtail,Springtails,Species,5,0,0
Paraphysomonas sp.,Golden-brown alga,Heterokont algae,Species,5,0,0
Tyrophagus curvipenis,Mite,Mites and ticks,Species,0,0,5
,,,,18175,17072,16779