Scientific name,Common name,group,Rank,537054,536372,536325
Dactylis glomerata,Catgrass; cocksfoot,Plants,Species,11771,16,0
Phalacrocorax varius,"Kāruhiruhi,Pied Shag",Birds,Species,2112,1834,737
Peltorhamphus novaezeelandiae,New Zealand sole,Fish,Species,728,495,486
Gobiomorphus cotidianus,"Tīpokopoko; toitoi,Common bully",Fish,Species,667,0,650
Anas chlorotis or gracilis,"Pāteke,Brown or grey teal",Birds,Species,431,564,78
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,459,281,141
Paranais litoralis,Oligochaete worm,Worms,Species,76,340,151
Rhombosolea plebeia,"Pātiki,New Zealand sand flounder",Fish,Species,152,231,114
Anguilla australis,"Tuna; hao; aopori; hikumutu,Shortfin eel",Fish,Species,312,86,20
Crapatalus angusticeps,Slender stargazer,Fish,Species,392,0,0
Capitella teleta,Worm,Worms,Species,211,119,0
Aldrichetta forsteri,"Kātaha; aua; kātaka,Yelloweye mullet",Fish,Species,280,0,25
Bos taurus,"Kau,Cattle",Mammals,Species,147,124,12
Gymnothorax obesus,,Fish,Species,243,33,0
Plantago coronopus,,Plants,Species,87,97,0
Forsterygion lapillum,Common triplefin,Fish,Species,135,0,0
Pseudophycis bachus,"Hoka,Red codling",Fish,Species,0,128,0
Strombidium biarmatum,Ciliate,Ciliates,Species,58,51,0
Goodenia radicans,"Remuremu,Swampweed; bonking grass",Plants,Species,60,26,0
Cervus elaphus,"Tia,Red Deer",Mammals,Species,0,85,0
Coriandrum sativum,Cilantro,Plants,Species,66,0,0
Lumbricus rubellus,Red earthworm,Worms,Species,0,61,0
Peltorhamphus kryptostomus,New Zealand gray sole,Fish,Species,38,0,0
Galaxias maculatus,"Īnanga,Inanga",Fish,Species,0,0,19
Trebouxia aggregata,Green algae,Green algae,Species,0,18,0
Ovis aries,"Pirikahu; hipi,Sheep",Mammals,Species,0,0,15
Haslea ostrearia,,Diatoms,Species,0,0,15
Nothofagus menziesii,"Tawhai; tahina,silver beech",Plants,Species,12,0,0
Retropinna retropinna,"Ngaore; paraki; pōrohe,Common smelt",Fish,Species,0,0,11
Cylindrotheca closterium,,Diatoms,Species,0,9,0
Canis lupus familiaris,"Pero,Dog",Mammals,Subspecies,0,0,8
Plantago lanceolata,"Ribwort plantain,narrowleaf plantain,English plantain,ribleaf,lamb's tongue,buckhorn",Plants,Species,0,8,0
Carduelis carduelis,Goldfinch,Birds,Species,0,0,7
Poa trivialis,Rough bluegrass,Plants,Species,5,0,0
,,,,18442,4606,2489